"","ADF statistics"
"Values added in financial activities",-13.2700574461643
"Nonfinancial corporate debts",-12.5971297006078
"Household debts",-12.4113435295315
"Government net lending",-13.681357907767
"Government expenditure",-11.7595761056961
"Net trade balance",-15.0113483968503
"FDI net outflow",-14.8440541552318
