"","Var1","Freq"
"160","External Trade, Goods, Volume of Imports, Cost Insurance Freight (CIF), Percentage change, previous period, Percent",170
"161","Final Consumption Expenditure, Nominal, Domestic Currency",199
"162","Final Consumption Expenditure, Nominal, Ratio to GDP, Percent",194
"163","Final Consumption Expenditure, Nominal, Seasonally Adjusted, Domestic Currency",110
"164","Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Households (Individual), Nominal, Domestic Currency",85
"165","Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Households (Individual), Nominal, Seasonally Adjusted, Domestic Currency",37
"166","Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Nominal, Domestic Currency",275
"167","Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Nominal, Seasonally Adjusted, Domestic Currency",116
"168","Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Non-profit Institutions Serving Households (NPISHs) (Individual), Nominal, Domestic Currency",78
"169","Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Non-profit Institutions Serving Households (NPISHs) (Individual), Nominal, Seasonally Adjusted, Domestic Currency",31
"170","Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Collective, Nominal, Domestic Currency",48
"171","Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Individual, Nominal, Domestic Currency",46
"172","Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Individual, Nominal, Seasonally Adjusted, Domestic Currency",18
"173","Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Nominal, Domestic Currency",275
"174","Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Nominal, Seasonally Adjusted, Domestic Currency",116
"175","Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, US Dollars",533
"176","Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Incurrence of Liabilities, US Dollars",525
"177","Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, US Dollars",582
"178","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, US Dollars",621
"179","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars",637
"180","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars",654
"181","Financial Account, Other Investment, Net Acquisition of Financial Assets, US Dollars",659
"182","Financial Account, Other Investment, Other Equity, Net Acquisition of Financial Assets, Debt Instruments, US Dollars",659
"183","Financial Account, Other Investment, Other Equity, Net Acquisition of Financial Assets, US Dollars",405
"184","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars",640
"185","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars",643
"186","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars",650
"187","Financial Market Prices, Equities, End of Period, Index",133
"188","Financial Market Prices, Equities, Index",127
"189","Financial Market Prices, Equities, Industrials, End of Period, Index",12
"190","Financial Market Prices, Equities, Industrials, Index",16
"191","Financial Market Prices, Equities, Mining, Index",6
"192","Financial Market Prices, Equities, Primary Market Instruments, American Exchange, Index",3
"193","Financial Market Prices, Equities, Primary Market Instruments, Chile IGPA, Index Number",3
"194","Financial Market Prices, Equities, Primary Market Instruments, Investment Funds Index of Republika Srpska, Index Number",6
"195","Financial Market Prices, Equities, Primary Market Instruments, Mauritius SEM-7, Index Number",3
"196","Financial Market Prices, Equities, Primary Market Instruments, NASDAQ, Index",3
"197","Financial Market Prices, Equities, Primary Market Instruments, Poland Warsaw Stock Exchange WIG-20, End of Price, Index",3
"198","Financial Market Prices, Equities, Primary Market Instruments, Poland Warsaw Stock Exchange WIG-20, Index",3
"199","Financial Market Prices, Equities, Primary Market Instruments, Russia RTS Exchange, Index",3
"200","Financial Market Prices, Equities, Primary Market Instruments, Standard and Poor's, Index",3
"201","Financial, Interest Rates, 3-Month Interbank Interest, Percent per annum",3
"202","Financial, Interest Rates, Average Cost of Funds, Percent per Annum",3
"203","Financial, Interest Rates, Central Bank Borrowing Facility Rate",6
"204","Financial, Interest Rates, Central Bank Certificates",21
"205","Financial, Interest Rates, Certificates of Deposit, Percent per annum",6
"206","Financial, Interest Rates, Corporate Paper Rate",9
"207","Financial, Interest Rates, Deposit Rate, Foreign Currency, Euro, Percent per Annum",3
"208","Financial, Interest Rates, Deposit Rate, Foreign Currency, US Dollar, Percent per Annum",3
"209","Financial, Interest Rates, Deposit, Foreign Currency, Percent per Annum",121
"210","Financial, Interest Rates, Deposit, Overnight",15
"211","Financial, Interest Rates, Deposit, Percent per annum",495
"212","Financial, Interest Rates, Discount, Foreign Currency",6
"213","Financial, Interest Rates, Discount, Percent per annum",251
"214","Financial, Interest Rates, Eurosystem Deposit Facility Rate",3
"215","Financial, Interest Rates, Government Bond Yields, Medium Term, Percent per annum",3
"216","Financial, Interest Rates, Government Bond Yields, Short- to Medium-Term, Percent per Annum",20
"217","Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",226
"218","Financial, Interest Rates, Government Securities, Treasury Bills, 3-month, Percent per annum",12
"219","Financial, Interest Rates, Government Securities, Treasury Bills, Bond Equivalent, Percent per Annum",5
"220","Financial, Interest Rates, Government Securities, Treasury Bills, Percent per annum",300
"221","Financial, Interest Rates, Harmonized Euro Area Rates, Loans, Households, Consumer Credit and Other, Up to 1 Year, Percent per annum",72
"222","Financial, Interest Rates, Harmonized Euro Area Rates, Loans, Households, House Purchase, Over 5 Years, Percent per annum",72
"223","Financial, Interest Rates, Harmonized Euro Area Rates, Loans, Non-Financial Corporations, Up to 1 Year, Percent per annum",72
"224","Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Households, Agreed Maturity, Up to 1 Year, Percent per annum",75
"225","Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Non-financial Corporations, Agreed Maturity, Up to 1 Year, Percent per annum",75
"226","Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Households, Consumption, Floating Rate and up to 1 Year, Percent per annum",63
"227","Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Households, House Purchase, Over 5 Years, Percent per annum",58
"228","Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Non-financial Corporations, Other Than Bank Overdrafts, Over EUR 1 Million, Floating Rate and up to 1 Year, Percent per Annum",72
"229","Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Non-financial Corporations, Other Than Bank Overdrafts, Over EUR 1 Million, Over 3 Months and up to 1 Year, Percent per annum",6
"230","Financial, Interest Rates, Harmonized Euro Area Rates, Outstanding Amounts, Deposits, Households, Agreed Maturity, Up to 2 Years, Percent per annum",72
"231","Financial, Interest Rates, Harmonized Euro Area Rates, Outstanding Amounts, Deposits, Non-Financial Corporations, Agreed Maturity, Up to 2 Years, Percent per annum",72
"232","Financial, Interest Rates, Harmonized Euro Area Rates, Outstanding Amounts, Deposits, Non-Financial Corporations, Repos, Percent per annum",3
"233","Financial, Interest Rates, Key Repurchase Agreement Rate, Percent per annum",3
"234","Financial, Interest Rates, Lending Rate, Foreign Currency, Euro, Percent per Annum",3
"235","Financial, Interest Rates, Lending Rate, Foreign Currency, Percent per Annum",106
"236","Financial, Interest Rates, Lending Rate, Foreign Currency, US Dollar, Percent per Annum",3
"237","Financial, Interest Rates, Lending Rate, Overnight",3
"238","Financial, Interest Rates, Lending Rate, Percent per annum",489
"239","Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum",286
"240","Financial, Interest Rates, Money Market, Foreign Currency, Percent per Annum",28
"241","Financial, Interest Rates, Money Market, Maximum, Percent per annum",3
"242","Financial, Interest Rates, Money Market, Minimum, Percent per annum",3
"243","Financial, Interest Rates, Money Market, Percent per annum",312
"244","Financial, Interest Rates, Refinancing Rate, Percent per annum",20
"245","Financial, Interest Rates, Repurchase Agreement Rate, Percent per annum",54
"246","Financial, Interest Rates, Reverse Repurchase Agreement Rate",18
"247","Financial, Interest Rates, Savings Rate, Foreign Currency, Percent per Annum",67
"248","Financial, Interest Rates, Savings Rate, Percent per annum",206
"249","Fiscal, Budgetary Central Government,  Assets and Liabilities, Non-financial Assets, Purchases of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",135
"250","Fiscal, Budgetary Central Government,  Assets and Liabilities, Non-financial Assets, Purchases of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",45
"251","Fiscal, Budgetary Central Government, Assets and Liabilities, Debt (at Market Value), Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",4
"252","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"253","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"254","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"255","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",10
"256","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",62
"257","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"258","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",118
"259","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"260","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",10
"261","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",57
"262","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"263","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",118
"264","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"265","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"266","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",125
"267","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"268","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",10
"269","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",121
"270","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",48
"271","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"272","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"273","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"274","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",121
"275","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"276","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"277","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",122
"278","Fiscal, Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"279","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",15
"280","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",189
"281","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",61
"282","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",15
"283","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",120
"284","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",53
"285","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",10
"286","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",166
"287","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",58
"288","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",15
"289","Fiscal, Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",119
