"","Var1","Freq"
"83","Economic Activity, Industrial Production, Mining, Percentage change, Corresponding period previous year, Percent",172
"84","Economic Activity, Industrial Production, Mining, Percentage change, Previous period, Percent",172
"85","Economic Activity, Industrial Production, Percentage change, Corresponding period previous year, Percent",242
"86","Economic Activity, Industrial Production, Percentage change, Previous period, Percent",242
"87","Economic Activity, Oil Production, Crude, Index",27
"88","Economic Activity, Oil Production, Crude, Percentage change, Corresponding period previous year, Percent",27
"89","Economic Activity, Oil Production, Crude, Percentage change, Previous period, Percent",27
"90","Economic Activity, Other Indicators, Tourism, Number of Visitors, Persons, Index",9
"91","Employment, Persons, Number of",345
"92","Employment, Persons, Percentage change, corresponding period previous year, Percent",300
"93","Employment, Persons, Percentage change, previous period, Percent",295
"94","Exceptional Financing, US Dollars",495
"95","Exchange Rates, Domestic Currency per ECU, End of Period, Rate",1134
"96","Exchange Rates, Domestic Currency per ECU, Period Average, Rate",1140
"97","Exchange Rates, Domestic Currency per Euro, End of Period, Rate",1114
"98","Exchange Rates, Domestic Currency per Euro, Period Average, Rate",1115
"99","Exchange Rates, Domestic Currency per SDR, End of Period",1164
"100","Exchange Rates, Domestic Currency per SDR, Period Average",1167
"101","Exchange Rates, Domestic Currency per U.S. Dollar, End of Period, Rate",1164
"102","Exchange Rates, Domestic Currency per U.S. Dollar, Period Average, Rate",1167
"103","Exchange Rates, ECUs per Domestic Currency, End of period, Rate",1134
"104","Exchange Rates, ECUs per Domestic Currency, Period average, Rate",1140
"105","Exchange Rates, Euro per Domestic Currency, End of Period, Rate",1114
"106","Exchange Rates, Euro per Domestic Currency, Period Average, Rate",1115
"107","Exchange Rates, Nominal Effective Exchange Rate based on Unit Labor Costs, Index",81
"108","Exchange Rates, Nominal Effective Exchange Rate, Index",300
"109","Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Index",282
"110","Exchange Rates, Real Effective Exchange Rate based on Unit Labor Costs, Index",81
"111","Exchange Rates, SDR per Domestic Currency, End of Period",1164
"112","Exchange Rates, SDR per Domestic Currency, Period Average",1167
"113","Exchange Rates, SDR per US Dollar, End of Period",3
"114","Exchange Rates, SDR per US Dollar, Period Average",3
"115","Exchange Rates, SDRs per ounce of Gold, End of period, Rate",3
"116","Exchange Rates, US Dollar per Domestic Currency, End of Period",1164
"117","Exchange Rates, US Dollar per Domestic Currency, Period Average, Rate",1167
"118","Exchange Rates, US Dollar per SDR, End of period, Rate",3
"119","Exchange Rates, US Dollar per SDR, Period average, Rate",3
"120","Exchange Rates, US Dollars per ounce of gold, End of period, Rate",3
"121","External Balance of Goods and Services, Exports of Goods and Services, Exports of Goods, Nominal, Domestic Currency",175
"122","External Balance of Goods and Services, Exports of Goods and Services, Exports of Goods, Nominal, Seasonally Adjusted, Domestic Currency",48
"123","External Balance of Goods and Services, Exports of Goods and Services, Exports of Services, Nominal, Domestic Currency",175
"124","External Balance of Goods and Services, Exports of Goods and Services, Exports of Services, Nominal, Seasonally Adjusted, Domestic Currency",48
"125","External Balance of Goods and Services, Exports of Goods and Services, Nominal, Domestic Currency",279
"126","External Balance of Goods and Services, Exports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency",117
"127","External Balance of Goods and Services, Imports of Goods and Services, Imports of Goods, Nominal, Domestic Currency",175
"128","External Balance of Goods and Services, Imports of Goods and Services, Imports of Goods, Nominal, Seasonally Adjusted, Domestic Currency",48
"129","External Balance of Goods and Services, Imports of Goods and Services, Imports of Services, Nominal, Domestic Currency",175
"130","External Balance of Goods and Services, Imports of Goods and Services, Imports of Services, Nominal, Seasonally Adjusted, Domestic Currency",48
"131","External Balance of Goods and Services, Imports of Goods and Services, Nominal, Domestic Currency",277
"132","External Balance of Goods and Services, Imports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency",117
"133","External Balance of Goods and Services, Nominal, Domestic Currency",251
"134","External Balance of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency",103
"135","External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), in US Dollars, Index",212
"136","External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), Index",275
"137","External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent",173
"138","External Trade, Goods, Deflator/Unit Value of Exports, Free on Board (FOB), Percentage change, previous period, Percent",173
"139","External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), in US Dollars, Index",199
"140","External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), Index",259
"141","External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), Percentage change, corresponding period previous year, Percent",161
"142","External Trade, Goods, Deflator/Unit Value of Imports, Cost Insurance Freight (CIF), Percentage change, previous period, Percent",161
"143","External Trade, Goods, Value of Exports, Free on Board (FOB), Domestic Currency",489
"144","External Trade, Goods, Value of Exports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent",534
"145","External Trade, Goods, Value of Exports, Free on Board (FOB), Percentage change, previous period, Percent",540
"146","External Trade, Goods, Value of Exports, Free on Board (FOB), US Dollars",565
"147","External Trade, Goods, Value of Imports, Cost Insurance Freight (CIF), Domestic Currency",484
"148","External Trade, Goods, Value of Imports, Cost Insurance Freight (CIF), Percentage change, corresponding period previous year, Percent",531
"149","External Trade, Goods, Value of Imports, Cost Insurance Freight (CIF), Percentage change, previous period, Percent",536
"150","External Trade, Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",563
"151","External Trade, Goods, Value of Imports, Free on Board (FOB), Domestic Currency",116
"152","External Trade, Goods, Value of Imports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent",151
"153","External Trade, Goods, Value of Imports, Free on Board (FOB), Percentage change, previous period, Percent",152
"154","External Trade, Goods, Value of Imports, Free on Board (FOB), US Dollars",159
"155","External Trade, Goods, Volume of Exports, Free on Board (FOB), Index",300
"156","External Trade, Goods, Volume of Exports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent",182
"157","External Trade, Goods, Volume of Exports, Free on Board (FOB), Percentage change, previous period, Percent",183
"158","External Trade, Goods, Volume of Imports, Cost Insurance Freight (CIF), Index",282
"159","External Trade, Goods, Volume of Imports, Cost Insurance Freight (CIF), Percentage change, corresponding period previous year, Percent",170
