"","DV_VA_pc","DV_nfc_ls_pc","DV_hh_ls_pc","IV_lending_pc","IV_gov_exp_pc","IV_trade_balance_pc","IV_fdi_net_pc"
"DV_VA_pc",1,NA,NA,NA,NA,NA,NA
"DV_nfc_ls_pc",0.119209959861329,1,NA,NA,NA,NA,NA
"DV_hh_ls_pc",0.139140491796467,0.614475943480996,1,NA,NA,NA,NA
"IV_lending_pc",-0.00838389902079593,0.0417858876228302,0.017692253707287,1,NA,NA,NA
"IV_gov_exp_pc",0.152303057564904,0.388534600303546,0.436385943024031,-0.0463237236912336,1,NA,NA
"IV_trade_balance_pc",-0.00221959048376222,-0.00986894024254914,-0.0322193834102088,0.00350386280823414,0.0210800484848491,1,NA
"IV_fdi_net_pc",NA,NA,NA,NA,NA,NA,1
