Variable,Phillips-Ouliaris demeaned,P-value,M2,P-value,M3,P-value
Government net lending,-374.0847,<.01,-227.5647,<.01,-204.5699,<.01
Government expenditure,-371.8855,<.01,-282.5763,<.01,-256.2583,<.01
Net trade balance,-372.5825,<.01,-222.4460,<.01,-206.0080,<.01
FDI net outflow,-375.7334,<.01,-223.1598,<.01,-209.4384,<.01
