"","po","va","nfc","hh"
"1","Government net lending","-374.084722220218","-227.564731187505","-204.569893049821"
"2","Government expenditure","-371.885521559081","-282.576276920927","-256.258277787827"
"3","Net trade balance","-372.58254936901","-222.446010716345","-206.007960429956"
"4","FDI net outflow","-375.733419011192","-223.159784392681","-209.438388176408"
