,Year,C_cpi,IV_fdi_net,IV_lending%,OECD_gdp,IV_trade_balance,C_REER,DV_VA%,DV_nfc_ls%,DV_hh_ls%,IMF_gdp,IV_gov_exp%,C_wgdp,C_wgini,DV_VA,DV_nfc_ls,DV_hh_ls,IV_gov_exp,IV_lending,C_wgdp_log,DV_VA_pc,DV_nfc_ls_pc,DV_hh_ls_pc,DV_VA_pc_lag1,DV_nfc_ls_pc_lag1,DV_hh_ls_pc_lag1,IV_lending_pc,IV_gov_exp_pc,IV_trade_balance_pc,IV_fdi_net_pc,IV_lending_pc_lag1,IV_gov_exp_pc_lag1,IV_trade_balance_pc_lag1,IV_fdi_net_pc_lag1
count,11743.0,2039.0,6655.0,1000.0,1959.0,6521.0,1679.0,1167.0,2151.0,2156.0,10181.0,2708.0,3522.0,3370.0,1156.0,2151.0,2156.0,2674.0,982.0,3522.0,11256.0,11696.0,11696.0,11255.0,11695.0,11695.0,942.0,11440.0,6309.0,6095.0,942.0,11440.0,6291.0,5932.0
mean,1989.720514348974,17.78828003361452,-424233350.5467963,-2.10317983765,897053.1011841246,646352164.3194282,113.51631428469327,5.759765910282776,65.3741774807815,36.276665358019834,38632.36828086494,29.073941546898077,20041.1621237933,37.41804154302671,61312.36171281433,39317.45035842268,25991.066486204818,11301.565217124073,-46315.49646208992,9.479965845086337,0.005793379033063634,0.2780116301555068,0.20348908173321903,0.005794828243867195,0.27800558701193695,0.20352259675173667,0.5855644711001781,190817.46750988576,0.2968281136330544,,0.5855644711001782,190817.4680105854,0.2957063651167194,
std,17.27530821422743,114.71021666184774,16594940140.06131,4.066963100610528,2046853.4150175625,37230590262.99537,109.86771572000444,3.6690517897219883,51.54136376858929,29.376129879666934,511027.9521550767,13.83485074267975,17516.92276793269,10.198861428404262,160635.46106230989,213070.51808847423,159384.21577132592,79977.39299700968,170936.18366181926,1.023911158500663,0.14342700620165685,14.34256317904809,12.746951813883992,0.14343329591312798,14.34317641932218,12.747496399930558,7.404463237501802,20409341.336640116,15.099335620196305,,7.404463237501803,20409341.336635437,15.120702332131325,
min,1960.0,-7.633931,-412780000000.0,-32.061638,6644.2007,-761715000000.0,31.343123,1.504824,0.0672509145895017,0.0843218386511081,1.02910250044227e-12,6.53535,548.0,15.9,287.409061102835,0.012156999999999973,0.00015000000000000007,1.4104467230061577e-13,-2091967.6489474785,6.306275286948016,-0.9949153459801598,-0.999999759282237,-0.9999999801234327,-0.9949153459801598,-0.999999759282237,-0.9999999801234327,-74.77994728679047,-0.999999999999868,-220.0,-inf,-74.77994728679047,-0.999999999999868,-220.0,-inf
25%,1975.0,2.050265,-721286980.0,-4.224411025,114910.51415,-1233237686.55781,93.540402,3.9876772000000003,30.0177926683468,11.62399635693445,2.14486720489682,17.39375,7329.0,29.884999999999998,6888.556320190727,64.084,27.554499999999997,2.697357378727154,-26413.466969983667,8.89959435992585,0.0,0.0,0.0,0.0,0.0,0.0,-0.2520936399563342,0.0,-0.3062939169628664,-0.48349614767509386,-0.2520936399563342,0.0,-0.30774670980975827,-0.48642116689348297
50%,1990.0,3.909618,-80285803.86,-2.37191875,262321.06,-163249699.992104,101.71125,4.9107039,56.9793105208745,29.8957138242086,42.7523573855618,26.5144,14494.0,35.27,16178.350774903545,371.36400000000026,180.59699999999978,57.39964150916776,-5438.088317491471,9.58149002824841,0.0,0.0,0.0,0.0,0.0,0.0,0.08985578264469002,0.0,-0.03488904689970378,-0.07936507943810911,0.08985578264469002,0.0,-0.03561026500601985,-0.08353097899833081
75%,2005.0,8.741412,-1046566.4484999999,0.050139409999999995,813125.23585,293526871.591674,110.601125,6.2782310500000005,88.24763746332295,54.1956802635399,652.966,40.036175,29574.25,43.9,61959.95085661851,1503.4960000000005,919.5365000000003,430.25009382769997,98.66516574481294,10.294659166165122,0.0,0.0,0.0,0.0,0.0,0.0,0.4889697558495705,0.0,0.3102481052563045,0.4989039816240195,0.4889697558495705,0.0,0.30860544587219746,0.49788494569798375
max,2020.0,2947.733,215276000000.0,18.67137,18915087.2428,357870764281.273,2458.322,29.64303,569.084026917219,139.426458778394,18689543.2328322,71.8412,191637.0,74.6,1411393.919020007,3438408.5716973115,2521353.9999999967,1589787.444054593,167244.0884659546,12.163358236522617,8.192723744388129,1256.5965742423803,1183.175896185499,8.192723744388129,1256.5965742423803,1183.175896185499,151.41428895882737,2182941018.417379,612.2631571861721,inf,151.41428895882737,2182941018.417379,612.2631571861721,inf
