,Country,Year,DV_VA,DV_domestic_credit,DV_nonfinance,DV_nonfinanceplus,DV_nfc_ls,DV_hh_ls,DV_pvd_ls,IV_lending,IV_gov_exp,IV_trade_balance,IV_fdi_outflow,C_M2,C_m2plus,C_NFL,C_REER,C_cpi,C_cpiplus,C_fdi_inflow,C_gdp,C_gdpplus,DV_VAplus,DV_domestic_creditplus,DV_pvd_lsplus,DV_nfc_lsplus,DV_hh_lsplus,IVlag1_DV_VAplus,IVlag1_DV_nonfinanceplus,IVlag1_DV_domestic_dreditplus,IVlag1_DV_pvd_lsplus,IVlag1_DV_nfc_lsplus,IVlag1_DV_hh_lsplus,IV_lendingplus,IV_gov_expplus,IV_trade_balanceplus,IV_fdi_outflowplus,IV_lendingplus_lag1,IV_gov_expplus_lag1,IV_trade_balanceplus_lag1,IV_fdi_outflowplus_lag1,IV_lendingplus_lag2,IV_gov_expplus_lag2,IV_trade_balanceplus_lag2,IV_fdi_outflowplus_lag2,C_NFLplus,C_REERplus
2178,Switzerland,2012,10.408957000000001,182.29558815663003,,0.0,107.90109149112101,117.380044475904,225.281135967025,0.38219604,,63237949814.5303,8.12803133167933,177.63552095504397,-0.8657288328697421,0.0,93.886684,-0.6925458000000001,,5.97917586942538,642940.9549,0.010060778120007274,0.004987399709634799,0.04279288329577535,0.039848406635033085,0.05021657913642641,0.030496472875219505,-0.006858394223856035,0.0,0.011829756050386386,0.030195466346134126,0.04053720004096739,0.021042146962228614,-0.4800267384939214,0.0,0.17231080354721784,0.3122466463468687,1.066223308020935,-0.021471297466872707,-0.10188072920590019,-0.5120526959844517,-0.2932213309718419,0.0007174924663289062,0.5372264383474894,0.537634002134254,,-0.03354643894628562
2179,Switzerland,2013,10.550798,172.655996777523,,0.0,104.514814020565,119.078437137709,223.593251158274,-0.42922264,,75441071186.8494,1.82229017718045,181.46773117511,-1.1345293152262916,0.0,91.846028,-0.21730850000000002,-1.1590563701323855,-3.62037955544283,654848.4493,0.018520354488620105,0.013626821592211291,-0.05287890659660177,-0.007492348622558653,-0.031383162336542814,0.014469177187555582,0.004987399709634799,0.0,0.04279288329577535,0.039848406635033085,0.05021657913642641,0.030496472875219505,-2.1230431377572616,0.0,0.19297148955823928,-0.7758017774761767,-0.4800267384939214,0.0,0.17231080354721784,0.3122466463468687,1.066223308020935,-0.021471297466872707,-0.10188072920590019,-0.5120526959844517,,-0.02173530806562518
2180,Switzerland,2014,9.9342405,173.965947753512,,0.0,102.464677246698,121.237221761875,223.701899008572,-0.21429286,,77396647526.1497,1.6151631505275903,186.389987432034,-1.1174138606646253,0.0,92.433177,-0.01322916,-2.7988945188785914,2.9615932287340496,670886.8635,0.024491795341569977,-0.05843704902700253,0.0075870575041592225,0.00048591739569592285,-0.01961575297319673,0.018129097727991317,0.013626821592211291,0.0,-0.05287890659660177,-0.007492348622558653,-0.031383162336542814,0.014469177187555582,-0.5007419459514064,0.0,0.025921905780696308,-0.1136630319619778,-2.1230431377572616,0.0,0.19297148955823928,-0.7758017774761767,-0.4800267384939214,0.0,0.17231080354721784,0.3122466463468687,,0.006392753315363819
2181,Switzerland,2015,9.777463699999998,174.78451715044997,,0.0,103.385436451964,123.69093150139999,227.07636795336398,0.64489095,,73296172002.4724,18.1811664941762,185.243591321246,-1.224687629507986,0.0,100.0,-1.143901,4.45977614568587,16.8287746079763,679832.3918,0.013333885020987646,-0.01578145807925635,0.004705342669116819,0.01508466830074906,0.008986113361281856,0.020238914286112353,-0.05843704902700253,0.0,0.0075870575041592225,0.00048591739569592285,-0.01961575297319673,0.018129097727991317,-4.0093907468498955,0.0,-0.05298001470014446,10.25655107240241,-0.5007419459514064,0.0,0.025921905780696308,-0.1136630319619778,-2.1230431377572616,0.0,0.19297148955823928,-0.7758017774761767,,0.08186263034105168
2182,Switzerland,2016,9.345709800000002,179.023764631236,,0.0,109.78664835128299,125.43553954303002,235.222187894313,0.37463469,,71087252760.4263,19.5700968463181,189.274076531923,-1.133956321249757,0.0,99.00976800000001,-0.4346076,-0.9677560747194239,10.784131293461401,691543.5184,0.017226491031108848,-0.04415806729100891,0.024254136178074592,0.03587260098603462,0.061915992416332166,0.014104575173405465,-0.01578145807925635,0.0,0.004705342669116819,0.01508466830074906,0.008986113361281856,0.020238914286112353,-0.4190728060302288,0.0,-0.030136897762840675,0.07639390754090525,-4.0093907468498955,0.0,-0.05298001470014446,10.25655107240241,-0.5007419459514064,0.0,0.025921905780696308,-0.1136630319619778,,-0.009902319999999909
2183,Switzerland,2017,9.249597,,,0.0,117.166460753584,127.679751070422,244.846211824006,1.2766561,,67094265234.5111,7.7514788590424,,-1.2039728043259361,0.0,97.233018,0.533796,,10.0431170785816,703987.6828,0.017994766878578483,-0.010284162686070353,0.0,0.040914609356567766,0.06721958009582285,0.017891353085160766,-0.04415806729100891,0.0,0.024254136178074592,0.03587260098603462,0.061915992416332166,0.014104575173405465,2.4077359467165205,0.0,-0.05617023264877197,-0.6039120848550754,-0.4190728060302288,0.0,-0.030136897762840675,0.07639390754090525,-4.0093907468498955,0.0,-0.05298001470014446,10.25655107240241,,-0.017945199103991505
2184,Switzerland,2018,9.3747653,,,0.0,118.102383217584,128.699518161838,246.801901379422,,,81193814367.0425,5.45027916931781,,-1.2039728043259361,0.0,94.147762,0.9363133,0.5619363991937181,-9.59769550840629,723350.9836,0.027505169867440893,0.013532297677401495,0.0,0.00798742010687814,0.007987972479328809,0.007986913217378877,-0.010284162686070353,0.0,0.0,0.040914609356567766,0.06721958009582285,0.017891353085160766,0.0,0.0,0.21014536910494463,-0.29687234288720943,2.4077359467165205,0.0,-0.05617023264877197,-0.6039120848550754,-0.4190728060302288,0.0,-0.030136897762840675,0.07639390754090525,,-0.031730538282787824
2189,Turkey,1960,,24.273127753304,,0.0,,,,,15.5745,,,14.698972099853199,,,,5.66474,-1.5484208302047924,,,0.0,0.0,-0.8644139351928877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01592923817537817,0.0,0.0,0.0,0.08051170002819297,0.0,0.0,0.0,0.0027067711682933204,0.0,0.0,,0.0
2190,Turkey,1961,,22.2948539638387,,0.0,,,,,22.8916,,,15.2712100139082,-1.0819602915291704,,,3.1728669999999997,-0.579625402020115,,,0.0,0.0,-0.08150057172570269,0.0,0.0,0.0,0.0,0.0,-0.8644139351928877,0.0,0.0,0.0,0.0,0.4698128350829882,0.0,0.0,0.0,0.01592923817537817,0.0,0.0,0.0,0.08051170002819297,0.0,0.0,,0.0
2191,Turkey,1962,,23.001245330012498,,0.0,,,,,15.734000000000002,,,14.943960149439599,-1.2780830448429086,,,3.8883,0.20333644856041544,,,0.0,0.0,0.031684054415406004,0.0,0.0,0.0,0.0,0.0,-0.08150057172570269,0.0,0.0,0.0,0.0,-0.3126736444809449,0.0,0.0,0.0,0.4698128350829882,0.0,0.0,0.0,0.01592923817537817,0.0,0.0,,0.0
