,Country,Year,C_M2,C_cpi,DV_domestic_credit,C_fdi_inflow,IV_fdi_outflow,IV_lending,C_gdp,C_NFL,DV_nonfinance,IV_trade_balance,C_REER,DV_VA,DV_pvd_ls,DV_hh_ls,DV_nfc_ls,IV_gov_exp,DV_VAplus,DV_domestic_creditplus,DV_nonfinanceplus,DV_nfc_lsplus,DV_pvd_lsplus,DV_hh_lsplus,IVlag1_DV_VAplus,IVlag1_DV_domestic_dreditplus,IVlag1_DV_nonfinanceplus,IVlag1_DV_nfc_lsplus,IVlag1_DV_pvd_lsplus,IVlag1_DV_hh_lsplus,IV_lendingplus,IV_gov_expplus,IV_trade_balanceplus,IV_fdi_outflowplus,IV_lendingplus_lag1,IV_gov_expplus_lag1,IV_trade_balanceplus_lag1,IV_fdi_outflowplus_lag1,IV_lendingplus_lag2,IV_gov_expplus_lag2,IV_trade_balanceplus_lag2,IV_fdi_outflowplus_lag2,C_NFLplus,C_REERplus,C_cpiplus,C_gdpplus,C_m2plus
2307,United Kingdom,2010,164.12317366056,2.5,203.40238755885898,2.6960793614666096,2.19806395705578,-9.2758522,2649482.9102,,34973.304,-49580784146.2875,84.12343,8.3284311,187.716587315886,93.08608814299009,94.6304991728957,50.5627,-0.09292014092599021,-0.014818456504493649,0.66865151595026,-0.03328936063063348,-0.030500495273243722,-0.027648816864746517,0.18736959052068491,0.07244006365707967,0.3918936211606123,-0.03870115399203644,-0.00777019640530896,0.02598566837920946,-0.07978204494814534,-0.01741393114491585,0.26856545192001446,-2.0949509075864627,0.9555744627784715,0.0758439592649971,-0.39926697558632973,-1.164485072420522,0.9547330579036419,0.08995636173049104,0.059248813118488286,0.021736802221541618,0.0,0.007463319776526145,0.25,0.01949521480365446,0.00460964726238644
2308,United Kingdom,2011,151.403858172312,3.8,194.22053372736,1.01575406843406,3.03964571358159,-7.4727007,2690288.8516,,37964.187999999995,-24058878940.445,84.485718,8.1385363,181.509790544016,90.222955149932,91.28683539408449,45.3351,-0.02280078897452842,-0.04514132769873225,0.08551905762177903,-0.03533389137789633,-0.0330647219865835,-0.030757904324650642,-0.09292014092599021,-0.014818456504493649,0.66865151595026,-0.03328936063063348,-0.030500495273243722,-0.027648816864746517,-0.19439200421929959,-0.10338846620136988,-0.5147539645710408,0.3828740987378165,-0.07978204494814534,-0.01741393114491585,0.26856545192001446,-2.0949509075864627,0.9555744627784715,0.0758439592649971,-0.39926697558632973,-1.164485072420522,0.0,0.004306624206835252,0.52,0.015401473715080494,-0.07749859574708284
2309,United Kingdom,2012,147.888476259537,2.6,189.141115671458,1.7283819251086203,0.444511638665825,-8.0719799,2730076.1776,,3393.1131,-31718075964.2801,88.304819,7.813071400000001,181.96943255408797,88.87947890041241,93.0899536536756,,-0.039990593886028325,-0.02615283749056263,-0.9106233195347152,0.019752226614133894,0.0025323262656760104,-0.014890625642742683,-0.02280078897452842,-0.04514132769873225,0.08551905762177903,-0.03533389137789633,-0.0330647219865835,-0.030757904324650642,0.08019579855513292,0.0,0.31835219931878656,-0.8537620234227691,-0.19439200421929959,-0.10338846620136988,-0.5147539645710408,0.3828740987378165,-0.07978204494814534,-0.01741393114491585,0.26856545192001446,-2.0949509075864627,0.0,0.045204101834110944,-0.3157894736842105,0.014789239444060742,-0.023218575505349226
2310,United Kingdom,2013,145.084428632671,2.3,176.983738241376,1.95523073173183,1.6601051134686002,-5.339152400000001,2788485.767,,-32762.6881,-35870574509.7084,87.00878,7.8247648000000005,174.37750766884702,86.51708039358509,87.8604272752615,,0.0014966457365281904,-0.06427675646790432,-10.655642807780264,-0.056177129466296716,-0.04172088014279185,-0.026579797002121652,-0.039990593886028325,-0.02615283749056263,-0.9106233195347152,0.019752226614133894,0.0025323262656760104,-0.014890625642742683,-0.3385572726711076,0.0,0.1309189923785008,2.7346718714751903,0.08019579855513292,0.0,0.31835219931878656,-0.8537620234227691,-0.19439200421929959,-0.10338846620136988,-0.5147539645710408,0.3828740987378165,0.0,-0.014676877374042219,-0.11538461538461553,0.02139485699309218,-0.01896055526290641
2311,United Kingdom,2014,135.342794735133,1.5,164.642816634837,1.9221353538589498,-3.71810256474522,-5.3449692,2861194.8616,,-45306.3316,-42801868487.9273,93.548723,7.6686787,165.36757948158998,84.80676898218559,80.56081049940491,,-0.019947705009612626,-0.0697291272586188,0.3828636851076941,-0.08308196308888105,-0.051669096018779004,-0.019768482750676775,0.0014966457365281904,-0.06427675646790432,-10.655642807780264,-0.056177129466296716,-0.04172088014279185,-0.026579797002121652,0.0010894613159946331,0.0,0.19323063745028524,-3.239679002600425,-0.3385572726711076,0.0,0.1309189923785008,2.7346718714751903,0.08019579855513292,0.0,0.31835219931878656,-0.8537620234227691,0.0,0.07516417308689993,-0.34782608695652173,0.026074759089849797,-0.06714458601344575
2312,United Kingdom,2015,134.05969859606398,0.4,158.764794751515,1.5479622484359101,-2.05481121772423,-4.196347900000001,2928591.002,,-56692.7757,-40555990780.9506,100.0,7.0402633,163.65498336092898,85.3830942395425,78.27188912138641,,-0.081945720323372,-0.035701660135947,0.25132125462128574,-0.028412342972088278,-0.010356299136927594,0.006795745956056587,-0.019947705009612626,-0.0697291272586188,0.3828636851076941,-0.08308196308888105,-0.051669096018779004,-0.019768482750676775,-0.21489764618288154,0.0,-0.052471487491490554,-0.44734950638322846,0.0010894613159946331,0.0,0.19323063745028524,-3.239679002600425,-0.3385572726711076,0.0,0.1309189923785008,2.7346718714751903,0.0,0.0689616789317371,-0.7333333333333334,0.023555243057549635,-0.009480343165515714
2313,United Kingdom,2016,140.005933412479,1.0,163.114069353774,12.0556451917926,1.22141101986201,-2.8979591,2984765.9198,,-70211.4235,-43559325213.9931,89.658613,7.3216233,168.918429021429,86.2589640948778,82.6594649265508,,0.039964414399103365,0.02739445233476423,0.23845450558879588,0.05605557569154884,0.03216184165252023,0.010258117993218185,-0.081945720323372,-0.035701660135947,0.25132125462128574,-0.028412342972088278,-0.010356299136927594,0.006795745956056587,-0.3094092365411363,0.0,0.07405402691957375,-1.594415199472564,-0.21489764618288154,0.0,-0.052471487491490554,-0.44734950638322846,0.0010894613159946331,0.0,0.19323063745028524,-3.239679002600425,0.0,-0.10341387000000002,1.5,0.019181551046778766,0.044355125952741936
2314,United Kingdom,2017,146.04523796536802,2.6,164.761711220964,4.5477936146571905,5.17733160669324,-1.8593121,3041239.9905,,-14828.7792,-32250621718.5141,84.820986,7.1026298,171.562707202133,86.1235862685393,85.4391209335934,,-0.02991051178500259,0.010101163398826607,-0.7887981974898999,0.03362780063375115,0.01565417222989063,-0.0015694348727581797,0.039964414399103365,0.02739445233476423,0.23845450558879588,0.05605557569154884,0.03216184165252023,0.010258117993218185,-0.35840636950328253,0.0,-0.25961613133176287,3.2388119334948797,-0.3094092365411363,0.0,0.07405402691957375,-1.594415199472564,-0.21489764618288154,0.0,-0.052471487491490554,-0.44734950638322846,0.0,-0.05395607670174418,1.6,0.01892077041129725,0.043136061491738875
2315,United Kingdom,2018,148.857765206202,2.3,162.25018432184999,1.22804785839677,1.97514575498512,-1.525364,3083381.6493,,-52414.570999999996,-50188171110.196,86.549605,6.859905900000001,170.894743602094,87.1916264820156,83.703117120078,,-0.03417380700314676,-0.01524338925896307,2.534651793857716,-0.020318605745776375,-0.003893407902756052,0.01240125103645906,-0.02991051178500259,0.010101163398826607,-0.7887981974898999,0.03362780063375115,0.01565417222989063,-0.0015694348727581797,-0.17960841539190753,0.0,0.556192359584327,-0.6185012077589048,-0.35840636950328253,0.0,-0.25961613133176287,3.2388119334948797,-0.3094092365411363,0.0,0.07405402691957375,-1.594415199472564,0.0,0.020379614544919322,-0.11538461538461553,0.0138567357168915,0.01925791816300726
2320,United States,1960,60.0476716362967,1.457976,60.549420209828796,,,,,,,,,,77.8811083958761,40.7223660861808,37.1587423096952,28.2885,0.0,-0.6268144750472576,0.0,0.03285768217082419,0.03947410650946437,0.04558592711369491,0.0,0.0,0.0,-0.0007066725476153612,0.01628187268628345,0.03249619913755408,0.0,0.5584061436079373,0.0,0.0,0.0,0.028569809610154095,0.0,0.0,0.0,0.06131040081787287,0.0,0.0,0.0,0.0,0.44256364996378705,0.0,-0.5966104183203547
